modelo,dimensao,numero_treinamentos,tempo_execucao_em_segundos,media,minimo,maximo,mediana,desvio_padrao,com_pca,normalizacao,funcao_ativacao,optimizador,eta,epocas
mlp1h,30x30,50,11.2797,91.5152,0.0000,100.0000,93.9394,13.9203,nao,none,tanh,nesterov,0.050,200
mlp2h,30x30,50,13.9640,53.0303,0.0000,100.0000,51.5152,36.6115,nao,none,tanh,nesterov,0.050,200
mlp1h,30x30,50,4.6097,43.6970,12.1212,72.7273,42.4242,13.0027,nao,none,relu,gd,0.010,200
mlp2h,30x30,50,5.7391,27.0303,9.0909,51.5152,24.2424,10.0939,nao,none,relu,gd,0.010,200
mlp1h,30x30,50,4.6643,73.2121,33.3333,93.9394,75.7576,13.7763,nao,none,relu,gd,0.050,200
mlp2h,30x30,50,6.3294,33.7576,9.0909,69.6970,33.3333,15.4517,nao,none,relu,gd,0.050,200
mlp1h,30x30,50,5.2655,84.7273,18.1818,96.9697,87.8788,13.5514,nao,none,relu,momentum,0.010,200
mlp2h,30x30,50,6.4039,74.4242,15.1515,100.0000,80.3030,18.0178,nao,none,relu,momentum,0.010,200
mlp1h,30x30,50,5.3756,78.6667,3.0303,96.9697,84.8485,22.5271,nao,none,relu,momentum,0.050,200
mlp2h,30x30,50,6.5315,5.8182,0.0000,48.4848,3.0303,8.9316,nao,none,relu,momentum,0.050,200
mlp1h,30x30,50,7.1985,3.0303,0.0000,24.2424,0.0000,4.7815,nao,none,relu,rmsprop,0.010,200
mlp2h,30x30,50,8.2802,10.3636,0.0000,54.5455,3.0303,13.1461,nao,none,relu,rmsprop,0.010,200
mlp1h,30x30,50,6.8275,0.7879,0.0000,3.0303,0.0000,1.3427,nao,none,relu,rmsprop,0.050,200
mlp2h,30x30,50,8.3122,0.9091,0.0000,6.0606,0.0000,1.5305,nao,none,relu,rmsprop,0.050,200
mlp1h,30x30,50,9.7600,88.8485,69.6970,100.0000,90.9091,6.3458,nao,none,relu,nesterov,0.010,200
mlp2h,30x30,50,12.1059,76.1818,15.1515,93.9394,81.8182,18.4276,nao,none,relu,nesterov,0.010,200
mlp1h,30x30,50,9.7378,22.2424,0.0000,93.9394,9.0909,28.3119,nao,none,relu,nesterov,0.050,200
mlp2h,30x30,50,12.3574,3.5758,0.0000,27.2727,1.5152,5.5671,nao,none,relu,nesterov,0.050,200
mlp1h,30x30,50,5.1355,44.4242,18.1818,75.7576,42.4242,15.2023,nao,none,leakyrelu,gd,0.010,200
mlp2h,30x30,50,6.0777,27.8788,9.0909,60.6061,27.2727,10.3896,nao,none,leakyrelu,gd,0.010,200
mlp1h,30x30,50,4.9956,75.6970,45.4545,93.9394,77.2727,11.9576,nao,none,leakyrelu,gd,0.050,200
mlp2h,30x30,50,6.4249,36.2424,6.0606,72.7273,31.8182,16.0927,nao,none,leakyrelu,gd,0.050,200
mlp1h,30x30,50,5.9309,87.8788,72.7273,100.0000,90.9091,7.5230,nao,none,leakyrelu,momentum,0.010,200
mlp2h,30x30,50,7.3331,71.0909,6.0606,96.9697,78.7879,21.7246,nao,none,leakyrelu,momentum,0.010,200
mlp1h,30x30,50,7.6552,86.0000,66.6667,100.0000,87.8788,7.7170,nao,none,leakyrelu,momentum,0.050,200
mlp2h,30x30,50,8.1470,22.8485,0.0000,87.8788,12.1212,24.6427,nao,none,leakyrelu,momentum,0.050,200
mlp1h,30x30,50,8.5636,65.8788,27.2727,93.9394,72.7273,18.9174,nao,none,leakyrelu,rmsprop,0.010,200
mlp2h,30x30,50,10.2705,33.6364,3.0303,78.7879,28.7879,20.7092,nao,none,leakyrelu,rmsprop,0.010,200
mlp1h,30x30,50,8.3768,57.8182,15.1515,87.8788,63.6364,19.1050,nao,none,leakyrelu,rmsprop,0.050,200
mlp2h,30x30,50,10.3240,15.8182,0.0000,39.3939,13.6364,10.1208,nao,none,leakyrelu,rmsprop,0.050,200
mlp1h,30x30,50,11.8120,88.0000,66.6667,96.9697,87.8788,6.6492,nao,none,leakyrelu,nesterov,0.010,200
mlp2h,30x30,50,15.2683,74.6061,6.0606,93.9394,81.8182,19.3685,nao,none,leakyrelu,nesterov,0.010,200
mlp1h,30x30,50,12.0884,44.9697,3.0303,93.9394,46.9697,26.9051,nao,none,leakyrelu,nesterov,0.050,200
mlp2h,30x30,50,14.8338,8.5455,0.0000,30.3030,6.0606,8.1838,nao,none,leakyrelu,nesterov,0.050,200
